condition,seed,regime,bandwidth_multiplier,candidate_radius,candidate_count,method,proposed_shift,probe_order,candidate_probe_count,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,method_evaluator_calls,exhaustive_evaluator_calls,evaluator_call_reduction_pct,method_runtime_s,exhaustive_runtime_s,all_sampled_monotonic,no_right_censoring
expanded_20_seed,5,prefill_constrained,1.0,4,9,single_direction_adaptive,0,"-1,0,1",3,0.523438,0.523438,-2,0.519531,0.542969,3,0.964029,3.597075,0.0,False,False,True,True,27,79,65.822785,3.67706,11.013683,True,True
expanded_20_seed,5,prefill_constrained,1.0,4,9,bidirectional_adaptive,0,"-1,0,1",3,0.523438,0.523438,-2,0.519531,0.542969,3,0.964029,3.597075,0.0,False,False,True,True,27,79,65.822785,3.67706,11.013683,True,True
expanded_20_seed,6,decode_constrained,1.0,2,5,single_direction_adaptive,-1,"-1,0,1,-2",4,0.023438,0.019531,-2,0.023438,0.023438,"-2,-1",1.0,0.0,20.004096,True,True,True,True,32,40,20.0,0.538775,0.658652,True,True
expanded_20_seed,6,decode_constrained,1.0,2,5,bidirectional_adaptive,-1,"-1,0,1,-2",4,0.023438,0.019531,-2,0.023438,0.023438,"-2,-1",1.0,0.0,20.004096,True,True,True,True,32,40,20.0,0.538775,0.658652,True,True
expanded_20_seed,6,decode_constrained,1.0,3,7,single_direction_adaptive,-3,"-1,0,1,-2,-3",5,0.035156,0.019531,-2,0.023438,0.035156,-3,1.0,0.0,80.001024,True,True,True,True,40,56,28.571429,0.705627,0.946205,True,True
expanded_20_seed,6,decode_constrained,1.0,3,7,bidirectional_adaptive,-3,"-1,0,1,-2,-3",5,0.035156,0.019531,-2,0.023438,0.035156,-3,1.0,0.0,80.001024,True,True,True,True,40,56,28.571429,0.705627,0.946205,True,True
expanded_20_seed,6,decode_constrained,1.0,4,9,single_direction_adaptive,-3,"-1,0,1,-2,-3,-4",6,0.035156,0.019531,-2,0.023438,0.035156,"-4,-3",1.0,0.0,80.001024,True,True,True,True,48,72,33.333333,0.867259,1.186619,True,True
expanded_20_seed,6,decode_constrained,1.0,4,9,bidirectional_adaptive,-3,"-1,0,1,-2,-3,-4",6,0.035156,0.019531,-2,0.023438,0.035156,"-4,-3",1.0,0.0,80.001024,True,True,True,True,48,72,33.333333,0.867259,1.186619,True,True
expanded_20_seed,6,prefill_constrained,1.0,2,5,single_direction_adaptive,0,"-1,0,1",3,0.355469,0.355469,-2,0.359375,0.359375,-2,0.989131,1.086887,0.0,False,True,True,False,24,40,40.0,2.544679,4.083856,True,True
expanded_20_seed,6,prefill_constrained,1.0,2,5,bidirectional_adaptive,0,"-1,0,1",3,0.355469,0.355469,-2,0.359375,0.359375,-2,0.989131,1.086887,0.0,False,True,True,False,24,40,40.0,2.544679,4.083856,True,True
expanded_20_seed,6,prefill_constrained,1.0,3,7,single_direction_adaptive,0,"-1,0,1",3,0.355469,0.355469,-2,0.359375,0.367188,-3,0.968084,3.191553,0.0,False,False,True,False,24,56,57.142857,2.544679,5.802484,True,True
expanded_20_seed,6,prefill_constrained,1.0,3,7,bidirectional_adaptive,0,"-1,0,1",3,0.355469,0.355469,-2,0.359375,0.367188,-3,0.968084,3.191553,0.0,False,False,True,False,24,56,57.142857,2.544679,5.802484,True,True
expanded_20_seed,6,prefill_constrained,1.0,4,9,single_direction_adaptive,0,"-1,0,1",3,0.355469,0.355469,-2,0.359375,0.367188,-3,0.968084,3.191553,0.0,False,False,True,False,24,72,66.666667,2.544679,7.542098,True,True
expanded_20_seed,6,prefill_constrained,1.0,4,9,bidirectional_adaptive,0,"-1,0,1",3,0.355469,0.355469,-2,0.359375,0.367188,-3,0.968084,3.191553,0.0,False,False,True,False,24,72,66.666667,2.544679,7.542098,True,True
expanded_20_seed,7,decode_constrained,1.0,2,5,single_direction_adaptive,0,"-1,0,1,-2",4,0.03125,0.03125,-2,0.03125,0.03125,"-2,-1,0",1.0,0.0,0.0,True,True,True,True,32,40,20.0,0.479128,0.578983,True,True
expanded_20_seed,7,decode_constrained,1.0,2,5,bidirectional_adaptive,0,"-1,0,1,-2",4,0.03125,0.03125,-2,0.03125,0.03125,"-2,-1,0",1.0,0.0,0.0,True,True,True,True,32,40,20.0,0.479128,0.578983,True,True
expanded_20_seed,7,decode_constrained,1.0,3,7,single_direction_adaptive,-3,"-1,0,1,-2,-3",5,0.035156,0.03125,-2,0.03125,0.035156,-3,1.0,0.0,12.4992,True,True,True,True,40,56,28.571429,0.662463,0.860733,True,True
expanded_20_seed,7,decode_constrained,1.0,3,7,bidirectional_adaptive,-3,"-1,0,1,-2,-3",5,0.035156,0.03125,-2,0.03125,0.035156,-3,1.0,0.0,12.4992,True,True,True,True,40,56,28.571429,0.662463,0.860733,True,True
expanded_20_seed,7,decode_constrained,1.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.054688,0.03125,-2,0.03125,0.054688,-4,1.0,0.0,75.0016,True,True,True,True,48,72,33.333333,0.905408,1.176833,True,True
expanded_20_seed,7,decode_constrained,1.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.054688,0.03125,-2,0.03125,0.054688,-4,1.0,0.0,75.0016,True,True,True,True,48,72,33.333333,0.905408,1.176833,True,True
expanded_20_seed,7,prefill_constrained,1.0,2,5,single_direction_adaptive,-1,"-1,0,1,-2",4,0.535156,0.523438,-2,0.519531,0.535156,-1,1.0,0.0,2.238661,True,True,True,True,36,45,20.0,5.45673,6.724692,True,True
expanded_20_seed,7,prefill_constrained,1.0,2,5,bidirectional_adaptive,-1,"-1,0,1,-2",4,0.535156,0.523438,-2,0.519531,0.535156,-1,1.0,0.0,2.238661,True,True,True,True,36,45,20.0,5.45673,6.724692,True,True
expanded_20_seed,7,prefill_constrained,1.0,3,7,single_direction_adaptive,-1,"-1,0,1,-2",4,0.535156,0.523438,-2,0.519531,0.535156,-1,1.0,0.0,2.238661,True,True,True,True,36,63,42.857143,5.45673,9.346384,True,True
expanded_20_seed,7,prefill_constrained,1.0,3,7,bidirectional_adaptive,-1,"-1,0,1,-2",4,0.535156,0.523438,-2,0.519531,0.535156,-1,1.0,0.0,2.238661,True,True,True,True,36,63,42.857143,5.45673,9.346384,True,True
