condition,seed,regime,candidate_radius,candidate_count,method_candidate_probes,method_evaluator_calls,exhaustive_evaluator_calls,evaluator_call_reduction_pct,method_runtime_s,exhaustive_runtime_s,runtime_reduction_pct,proposed_shift,oracle_shifts,oracle_ratio,matches_oracle_shift
expanded_20_seed_9_candidate,11,prefill_constrained,3,7,3,29,65,55.384615,9.793671,18.152415,46.04756,0,0,1.0,True
expanded_20_seed_9_candidate,11,prefill_constrained,4,9,3,29,82,64.634146,9.793671,21.073382,53.525871,0,0,1.0,True
expanded_20_seed_9_candidate,12,decode_constrained,2,5,4,32,40,20.0,0.819563,1.006473,18.570827,-1,"-2,-1",1.0,True
expanded_20_seed_9_candidate,12,decode_constrained,3,7,4,32,56,42.857143,0.819563,1.468122,44.176086,-1,"-3,-2,-1",1.0,True
expanded_20_seed_9_candidate,12,decode_constrained,4,9,4,32,72,55.555556,0.819563,1.829731,55.208548,-1,-4,0.578949,False
expanded_20_seed_9_candidate,12,prefill_constrained,2,5,4,35,44,20.454545,8.181975,10.105563,19.03494,1,1,1.0,True
expanded_20_seed_9_candidate,12,prefill_constrained,3,7,4,35,61,42.622951,8.181975,13.477335,39.290857,1,3,0.985713,False
expanded_20_seed_9_candidate,12,prefill_constrained,4,9,4,35,77,54.545455,8.181975,16.421529,50.175318,1,3,0.985713,False
expanded_20_seed_9_candidate,13,decode_constrained,2,5,4,32,40,20.0,0.744836,0.889727,16.284829,0,"-2,-1,0",1.0,True
expanded_20_seed_9_candidate,13,decode_constrained,3,7,4,32,56,42.857143,0.744836,1.186897,37.245098,0,-3,0.875008,False
expanded_20_seed_9_candidate,13,decode_constrained,4,9,4,32,72,55.555556,0.744836,1.421762,47.611766,0,-4,0.437504,False
expanded_20_seed_9_candidate,13,prefill_constrained,2,5,4,32,40,20.0,3.459358,4.190586,17.449311,1,"1,2",1.0,True
expanded_20_seed_9_candidate,13,prefill_constrained,3,7,4,32,56,42.857143,3.459358,5.939658,41.758299,1,"1,2,3",1.0,True
expanded_20_seed_9_candidate,13,prefill_constrained,4,9,4,32,72,55.555556,3.459358,7.693088,55.032913,1,4,0.97753,False
expanded_20_seed_9_candidate,14,decode_constrained,2,5,4,32,40,20.0,0.562436,0.693167,18.859899,0,"-2,-1,0",1.0,True
expanded_20_seed_9_candidate,14,decode_constrained,3,7,4,32,56,42.857143,0.562436,1.001322,43.830604,0,-3,0.60002,False
expanded_20_seed_9_candidate,14,decode_constrained,4,9,4,32,72,55.555556,0.562436,1.258008,55.291516,0,"-4,-3",0.60002,False
expanded_20_seed_9_candidate,14,prefill_constrained,2,5,4,36,45,20.0,12.426369,14.852653,16.3357,-1,-1,1.0,True
expanded_20_seed_9_candidate,14,prefill_constrained,3,7,4,36,63,42.857143,12.426369,17.450287,28.789888,-1,-1,1.0,True
expanded_20_seed_9_candidate,14,prefill_constrained,4,9,4,36,79,54.43038,12.426369,19.951971,37.71859,-1,-1,1.0,True
expanded_20_seed_9_candidate,15,decode_constrained,2,5,4,32,40,20.0,0.623393,0.732057,14.843658,0,"-2,-1,0",1.0,True
expanded_20_seed_9_candidate,15,decode_constrained,3,7,4,32,56,42.857143,0.623393,1.034993,39.768333,0,-3,0.749995,False
expanded_20_seed_9_candidate,15,decode_constrained,4,9,4,32,72,55.555556,0.623393,1.340708,53.502671,0,"-4,-3",0.749995,False
expanded_20_seed_9_candidate,15,prefill_constrained,2,5,3,24,40,40.0,3.692862,5.445527,32.185407,0,0,1.0,True
expanded_20_seed_9_candidate,15,prefill_constrained,3,7,3,24,56,57.142857,3.692862,7.681438,51.924864,0,3,0.944955,False
expanded_20_seed_9_candidate,15,prefill_constrained,4,9,3,24,72,66.666667,3.692862,9.983896,63.011815,0,3,0.944955,False
expanded_20_seed_9_candidate,16,decode_constrained,2,5,4,32,40,20.0,0.656809,0.821112,20.009777,0,"-2,-1,0",1.0,True
expanded_20_seed_9_candidate,16,decode_constrained,3,7,4,32,56,42.857143,0.656809,1.216933,46.027528,0,-3,0.888895,False
expanded_20_seed_9_candidate,16,decode_constrained,4,9,4,32,72,55.555556,0.656809,1.532845,57.150988,0,-4,0.666667,False
expanded_20_seed_9_candidate,16,prefill_constrained,2,5,4,36,45,20.0,7.606842,9.408767,19.151553,1,1,1.0,True
expanded_20_seed_9_candidate,16,prefill_constrained,3,7,4,36,63,42.857143,7.606842,13.137888,42.099962,1,1,1.0,True
expanded_20_seed_9_candidate,16,prefill_constrained,4,9,4,36,81,55.555556,7.606842,16.391693,53.593311,1,1,1.0,True
expanded_20_seed_9_candidate,17,decode_constrained,2,5,4,32,40,20.0,0.50506,0.602884,16.225992,0,"-2,-1,0",1.0,True
expanded_20_seed_9_candidate,17,decode_constrained,3,7,4,32,56,42.857143,0.50506,0.888503,43.156034,0,-3,0.888895,False
expanded_20_seed_9_candidate,17,decode_constrained,4,9,4,32,72,55.555556,0.50506,1.199986,57.911168,0,-4,0.615388,False
expanded_20_seed_9_candidate,17,prefill_constrained,2,5,4,32,40,20.0,3.72159,4.592569,18.964967,1,"-2,1",1.0,True
expanded_20_seed_9_candidate,17,prefill_constrained,3,7,4,32,56,42.857143,3.72159,6.226173,40.226691,1,"-2,1",1.0,True
expanded_20_seed_9_candidate,17,prefill_constrained,4,9,4,32,72,55.555556,3.72159,7.917498,52.995377,1,4,0.987177,False
expanded_20_seed_9_candidate,18,decode_constrained,2,5,4,32,40,20.0,0.600676,0.709151,15.296479,0,"-2,-1,0",1.0,True
expanded_20_seed_9_candidate,18,decode_constrained,3,7,4,32,56,42.857143,0.600676,1.009225,40.481488,0,-3,0.666686,False
expanded_20_seed_9_candidate,18,decode_constrained,4,9,4,32,72,55.555556,0.600676,1.273692,52.839785,0,"-4,-3",0.666686,False
expanded_20_seed_9_candidate,18,prefill_constrained,2,5,4,32,40,20.0,7.988906,9.662585,17.321237,1,1,1.0,True
expanded_20_seed_9_candidate,18,prefill_constrained,3,7,4,32,56,42.857143,7.988906,13.294819,39.909631,1,1,1.0,True
expanded_20_seed_9_candidate,18,prefill_constrained,4,9,4,32,72,55.555556,7.988906,16.498911,51.579195,1,1,1.0,True
expanded_20_seed_9_candidate,19,decode_constrained,2,5,4,32,40,20.0,0.63048,0.772655,18.400825,-1,"-2,-1",1.0,True
expanded_20_seed_9_candidate,19,decode_constrained,3,7,4,32,56,42.857143,0.63048,1.104375,42.910684,-1,"-3,-2,-1",1.0,True
expanded_20_seed_9_candidate,19,decode_constrained,4,9,4,32,72,55.555556,0.63048,1.341886,53.015377,-1,-4,0.750016,False
expanded_20_seed_9_candidate,19,prefill_constrained,2,5,4,36,45,20.0,6.823176,8.289255,17.686502,1,1,1.0,True
expanded_20_seed_9_candidate,19,prefill_constrained,3,7,4,36,63,42.857143,6.823176,10.930856,37.578762,1,1,1.0,True
expanded_20_seed_9_candidate,19,prefill_constrained,4,9,4,36,79,54.43038,6.823176,12.732249,46.410288,1,1,1.0,True
