condition,seed,regime,bandwidth_multiplier,candidate_radius,candidate_count,method,proposed_shift,probe_order,candidate_probe_count,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,method_evaluator_calls,exhaustive_evaluator_calls,evaluator_call_reduction_pct,method_runtime_s,exhaustive_runtime_s,all_sampled_monotonic,no_right_censoring
bandwidth_2x,0,decode_constrained,2.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4,2",7,0.054688,0.03125,-2,0.039062,0.054688,-4,1.0,0.0,75.0016,True,True,True,True,56,72,22.222222,0.721922,0.874345,True,True
bandwidth_2x,0,prefill_constrained,2.0,4,9,single_direction_adaptive,-1,"-1,0,1,-2",4,0.691406,0.675781,-2,0.675781,0.691406,-1,1.0,0.0,2.31214,True,True,True,True,36,80,55.0,4.552911,9.238383,True,True
bandwidth_2x,0,prefill_constrained,2.0,4,9,bidirectional_adaptive,-1,"-1,0,1,-2",4,0.691406,0.675781,-2,0.675781,0.691406,-1,1.0,0.0,2.31214,True,True,True,True,36,80,55.0,4.552911,9.238383,True,True
bandwidth_2x,1,decode_constrained,2.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.09375,0.039062,-2,0.046875,0.09375,-4,1.0,0.0,140.003072,True,True,True,True,48,72,33.333333,0.793787,1.037048,True,True
bandwidth_2x,1,decode_constrained,2.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4,2",7,0.09375,0.039062,-2,0.046875,0.09375,-4,1.0,0.0,140.003072,True,True,True,True,56,72,22.222222,0.879304,1.037048,True,True
bandwidth_2x,1,prefill_constrained,2.0,4,9,single_direction_adaptive,0,"-1,0,1",3,0.941406,0.941406,-2,0.769531,0.941406,0,1.0,0.0,0.0,True,True,True,True,27,80,66.25,4.292666,9.450517,True,True
bandwidth_2x,1,prefill_constrained,2.0,4,9,bidirectional_adaptive,0,"-1,0,1",3,0.941406,0.941406,-2,0.769531,0.941406,0,1.0,0.0,0.0,True,True,True,True,27,80,66.25,4.292666,9.450517,True,True
bandwidth_2x,2,decode_constrained,2.0,4,9,single_direction_adaptive,-3,"-1,0,1,-2,-3,-4",6,0.089844,0.050781,-2,0.074219,0.089844,"-4,-3",1.0,0.0,76.92444,True,True,True,True,48,72,33.333333,0.939354,1.208921,True,True
bandwidth_2x,2,decode_constrained,2.0,4,9,bidirectional_adaptive,-3,"-1,0,1,-2,-3,-4",6,0.089844,0.050781,-2,0.074219,0.089844,"-4,-3",1.0,0.0,76.92444,True,True,True,True,48,72,33.333333,0.939354,1.208921,True,True
bandwidth_2x,2,prefill_constrained,2.0,4,9,single_direction_adaptive,0,"-1,0,1",3,0.675781,0.675781,-2,0.601562,0.675781,0,1.0,0.0,0.0,True,True,True,True,27,79,65.822785,2.217503,6.55218,True,True
bandwidth_2x,2,prefill_constrained,2.0,4,9,bidirectional_adaptive,0,"-1,0,1",3,0.675781,0.675781,-2,0.601562,0.675781,0,1.0,0.0,0.0,True,True,True,True,27,79,65.822785,2.217503,6.55218,True,True
bandwidth_2x,3,decode_constrained,2.0,4,9,single_direction_adaptive,-3,"-1,0,1,-2,-3,-4",6,0.105469,0.042969,-2,0.058594,0.105469,"-4,-3",1.0,0.0,145.453699,True,True,True,True,48,72,33.333333,0.946458,1.215801,True,True
bandwidth_2x,3,decode_constrained,2.0,4,9,bidirectional_adaptive,-3,"-1,0,1,-2,-3,-4,2",7,0.105469,0.042969,-2,0.058594,0.105469,"-4,-3",1.0,0.0,145.453699,True,True,True,True,56,72,22.222222,1.050988,1.215801,True,True
bandwidth_2x,3,prefill_constrained,2.0,4,9,single_direction_adaptive,0,"-1,0,1,2",4,0.566406,0.566406,-2,0.554688,0.566406,"-3,0,1",1.0,0.0,0.0,True,True,True,True,36,80,55.0,5.458882,10.213666,True,True
bandwidth_2x,3,prefill_constrained,2.0,4,9,bidirectional_adaptive,0,"-1,0,1,2",4,0.566406,0.566406,-2,0.554688,0.566406,"-3,0,1",1.0,0.0,0.0,True,True,True,True,36,80,55.0,5.458882,10.213666,True,True
bandwidth_2x,7,decode_constrained,2.0,4,9,single_direction_adaptive,-3,"-1,0,1,-2,-3,-4",6,0.097656,0.050781,-2,0.070312,0.097656,"-4,-3",1.0,0.0,92.308147,True,True,True,True,48,72,33.333333,0.835957,1.081378,True,True
bandwidth_2x,7,decode_constrained,2.0,4,9,bidirectional_adaptive,-3,"-1,0,1,-2,-3,-4,2",7,0.097656,0.050781,-2,0.070312,0.097656,"-4,-3",1.0,0.0,92.308147,True,True,True,True,56,72,22.222222,0.906498,1.081378,True,True
bandwidth_2x,7,prefill_constrained,2.0,4,9,single_direction_adaptive,-1,"-1,0,1,-2",4,0.671875,0.65625,-2,0.613281,0.671875,-1,1.0,0.0,2.380952,True,True,True,True,36,79,54.43038,3.86862,7.854806,True,True
bandwidth_2x,7,prefill_constrained,2.0,4,9,bidirectional_adaptive,-1,"-1,0,1,-2",4,0.671875,0.65625,-2,0.613281,0.671875,-1,1.0,0.0,2.380952,True,True,True,True,36,79,54.43038,3.86862,7.854806,True,True
bandwidth_2x,19,decode_constrained,2.0,4,9,single_direction_adaptive,-4,"-1,0,1,-2,-3,-4",6,0.066406,0.027344,-2,0.039062,0.066406,-4,1.0,0.0,142.854008,True,True,True,True,48,72,33.333333,0.679012,0.924279,True,True
bandwidth_2x,19,decode_constrained,2.0,4,9,bidirectional_adaptive,-4,"-1,0,1,-2,-3,-4,2",7,0.066406,0.027344,-2,0.039062,0.066406,-4,1.0,0.0,142.854008,True,True,True,True,56,72,22.222222,0.762794,0.924279,True,True
bandwidth_2x,19,prefill_constrained,2.0,4,9,single_direction_adaptive,-1,"-1,0,1,-2",4,0.75,0.734375,-2,0.738281,0.75,-1,1.0,0.0,2.12766,True,True,True,True,36,79,54.43038,5.152353,8.982601,True,True
bandwidth_2x,19,prefill_constrained,2.0,4,9,bidirectional_adaptive,-1,"-1,0,1,-2",4,0.75,0.734375,-2,0.738281,0.75,-1,1.0,0.0,2.12766,True,True,True,True,36,79,54.43038,5.152353,8.982601,True,True
