condition,seed,regime,bandwidth_multiplier,shift,safe_intensity,unsafe_intensity,evaluations,elapsed_s,sampled_monotonic,right_censored,is_oracle_shift
expanded_20_seed,10,decode_constrained,1.0,1,0.011719,0.015625,8,0.109351,True,False,False
expanded_20_seed,10,decode_constrained,1.0,2,0.011719,0.015625,8,0.1034,True,False,False
expanded_20_seed,10,decode_constrained,1.0,3,0.011719,0.015625,8,0.109385,True,False,False
expanded_20_seed,10,decode_constrained,1.0,4,0.003906,0.007812,8,0.054621,True,False,False
expanded_20_seed,10,prefill_constrained,1.0,-4,0.296875,0.300781,8,0.463251,True,False,False
expanded_20_seed,10,prefill_constrained,1.0,-3,0.289062,0.292969,8,0.458793,True,False,False
expanded_20_seed,10,prefill_constrained,1.0,-2,0.316406,0.320312,8,0.499555,True,False,False
expanded_20_seed,10,prefill_constrained,1.0,-1,0.367188,0.371094,8,0.700984,True,False,False
expanded_20_seed,10,prefill_constrained,1.0,0,0.359375,0.363281,8,0.612435,True,False,False
expanded_20_seed,10,prefill_constrained,1.0,1,0.359375,0.363281,8,0.798477,True,False,False
expanded_20_seed,10,prefill_constrained,1.0,2,0.371094,0.375,8,0.955361,True,False,False
expanded_20_seed,10,prefill_constrained,1.0,3,0.363281,0.367188,8,0.940338,True,False,False
expanded_20_seed,10,prefill_constrained,1.0,4,0.394531,0.398438,8,0.708283,True,False,True
expanded_20_seed,11,decode_constrained,1.0,-4,0.058594,0.0625,8,0.228313,True,False,True
expanded_20_seed,11,decode_constrained,1.0,-3,0.046875,0.050781,8,0.168048,True,False,False
expanded_20_seed,11,decode_constrained,1.0,-2,0.039062,0.042969,8,0.153856,True,False,False
expanded_20_seed,11,decode_constrained,1.0,-1,0.039062,0.042969,8,0.151461,True,False,False
expanded_20_seed,11,decode_constrained,1.0,0,0.039062,0.042969,8,0.156957,True,False,False
expanded_20_seed,11,decode_constrained,1.0,1,0.019531,0.023438,8,0.112947,True,False,False
expanded_20_seed,11,decode_constrained,1.0,2,0.019531,0.023438,8,0.114554,True,False,False
expanded_20_seed,11,decode_constrained,1.0,3,0.019531,0.023438,8,0.112328,True,False,False
expanded_20_seed,11,decode_constrained,1.0,4,0.007812,0.011719,8,0.069271,True,False,False
expanded_20_seed,11,prefill_constrained,1.0,-4,0.566406,0.570312,9,1.066052,True,False,False
expanded_20_seed,11,prefill_constrained,1.0,-3,0.648438,0.652344,9,1.389091,True,False,False
expanded_20_seed,11,prefill_constrained,1.0,-2,0.785156,0.789062,9,1.682284,True,False,False
