condition,seed,regime,bandwidth_multiplier,candidate_radius,candidate_count,method,proposed_shift,probe_order,candidate_probe_count,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,method_evaluator_calls,exhaustive_evaluator_calls,evaluator_call_reduction_pct,method_runtime_s,exhaustive_runtime_s
expanded_20_seed,5,prefill_constrained,1.0,4,9,coarse_top1,0,"-4,-2,0,2,4,-1,1",7,0.523438,0.523438,-2,0.519531,0.542969,3,0.964029,3.597075,0.0,False,False,True,True,61,79,22.78481,6.411928,8.272928
expanded_20_seed,5,prefill_constrained,1.0,4,9,coarse_top2,-3,"-4,-2,0,2,4,-1,1,-3",8,0.53125,0.523438,-2,0.519531,0.542969,3,0.978417,2.158318,1.49244,False,False,True,True,70,79,11.392405,7.165887,8.272928
expanded_20_seed,5,prefill_constrained,1.0,4,9,coarse_top3,3,"-4,-2,0,2,4,-1,1,-3,3",9,0.542969,0.523438,-2,0.519531,0.542969,3,1.0,0.0,3.731292,True,True,True,True,79,79,0.0,8.272928,8.272928
expanded_20_seed,6,decode_constrained,1.0,4,9,coarse_top1,-3,"-4,-2,0,2,4,-3",6,0.035156,0.019531,-2,0.023438,0.035156,"-4,-3",1.0,0.0,80.001024,True,True,True,True,48,72,33.333333,0.660027,0.958514
expanded_20_seed,6,decode_constrained,1.0,4,9,coarse_top2,-3,"-4,-2,0,2,4,-3,-1",7,0.035156,0.019531,-2,0.023438,0.035156,"-4,-3",1.0,0.0,80.001024,True,True,True,True,56,72,22.222222,0.765415,0.958514
expanded_20_seed,6,decode_constrained,1.0,4,9,coarse_top3,-3,"-4,-2,0,2,4,-3,-1,1",8,0.035156,0.019531,-2,0.023438,0.035156,"-4,-3",1.0,0.0,80.001024,True,True,True,True,64,72,11.111111,0.861647,0.958514
expanded_20_seed,6,prefill_constrained,1.0,4,9,coarse_top1,4,"-4,-2,0,2,4,3",6,0.363281,0.355469,-2,0.359375,0.367188,-3,0.98936,1.064033,2.19766,False,True,True,True,48,72,33.333333,3.876924,5.802722
expanded_20_seed,6,prefill_constrained,1.0,4,9,coarse_top2,-3,"-4,-2,0,2,4,3,-3,-1",8,0.367188,0.355469,-2,0.359375,0.367188,-3,1.0,0.0,3.296771,True,True,True,True,64,72,11.111111,5.170936,5.802722
expanded_20_seed,6,prefill_constrained,1.0,4,9,coarse_top3,-3,"-4,-2,0,2,4,3,-3,-1,1",9,0.367188,0.355469,-2,0.359375,0.367188,-3,1.0,0.0,3.296771,True,True,True,True,72,72,0.0,5.802722,5.802722
expanded_20_seed,7,decode_constrained,1.0,4,9,coarse_top1,-4,"-4,-2,0,2,4,-3",6,0.054688,0.03125,-2,0.03125,0.054688,-4,1.0,0.0,75.0016,True,True,True,True,48,72,33.333333,0.700179,0.968554
expanded_20_seed,7,decode_constrained,1.0,4,9,coarse_top2,-4,"-4,-2,0,2,4,-3,-1,1",8,0.054688,0.03125,-2,0.03125,0.054688,-4,1.0,0.0,75.0016,True,True,True,True,64,72,11.111111,0.888818,0.968554
expanded_20_seed,7,decode_constrained,1.0,4,9,coarse_top3,-4,"-4,-2,0,2,4,-3,-1,1",8,0.054688,0.03125,-2,0.03125,0.054688,-4,1.0,0.0,75.0016,True,True,True,True,64,72,11.111111,0.888818,0.968554
expanded_20_seed,7,prefill_constrained,1.0,4,9,coarse_top1,-1,"-4,-2,0,2,4,-1,1",7,0.535156,0.523438,-2,0.519531,0.535156,-1,1.0,0.0,2.238661,True,True,True,True,61,79,22.78481,7.237517,9.218069
expanded_20_seed,7,prefill_constrained,1.0,4,9,coarse_top2,-1,"-4,-2,0,2,4,-1,1,-3",8,0.535156,0.523438,-2,0.519531,0.535156,-1,1.0,0.0,2.238661,True,True,True,True,70,79,11.392405,8.207217,9.218069
expanded_20_seed,7,prefill_constrained,1.0,4,9,coarse_top3,-1,"-4,-2,0,2,4,-1,1,-3,3",9,0.535156,0.523438,-2,0.519531,0.535156,-1,1.0,0.0,2.238661,True,True,True,True,79,79,0.0,9.218069,9.218069
expanded_20_seed,8,decode_constrained,1.0,4,9,coarse_top1,-4,"-4,-2,0,2,4,-3",6,0.046875,0.03125,-2,0.035156,0.046875,-4,1.0,0.0,50.0,True,True,True,True,48,72,33.333333,0.618145,0.846596
expanded_20_seed,8,decode_constrained,1.0,4,9,coarse_top2,-4,"-4,-2,0,2,4,-3,-1",7,0.046875,0.03125,-2,0.035156,0.046875,-4,1.0,0.0,50.0,True,True,True,True,56,72,22.222222,0.706003,0.846596
expanded_20_seed,8,decode_constrained,1.0,4,9,coarse_top3,-4,"-4,-2,0,2,4,-3,-1,1",8,0.046875,0.03125,-2,0.035156,0.046875,-4,1.0,0.0,50.0,True,True,True,True,64,72,11.111111,0.778101,0.846596
expanded_20_seed,8,prefill_constrained,1.0,4,9,coarse_top1,3,"-4,-2,0,2,4,3",6,0.53125,0.464844,-2,0.472656,0.53125,3,1.0,0.0,14.285653,True,True,True,True,49,73,32.876712,4.555654,6.890975
expanded_20_seed,8,prefill_constrained,1.0,4,9,coarse_top2,3,"-4,-2,0,2,4,3,-3,-1",8,0.53125,0.464844,-2,0.472656,0.53125,3,1.0,0.0,14.285653,True,True,True,True,65,73,10.958904,6.0044,6.890975
expanded_20_seed,8,prefill_constrained,1.0,4,9,coarse_top3,3,"-4,-2,0,2,4,3,-3,-1,1",9,0.53125,0.464844,-2,0.472656,0.53125,3,1.0,0.0,14.285653,True,True,True,True,73,73,0.0,6.890975,6.890975
expanded_20_seed,9,decode_constrained,1.0,4,9,coarse_top1,-4,"-4,-2,0,2,4,-3",6,0.050781,0.035156,-2,0.035156,0.050781,-4,1.0,0.0,44.44476,True,True,True,True,48,72,33.333333,0.923676,1.274237
expanded_20_seed,9,decode_constrained,1.0,4,9,coarse_top2,-4,"-4,-2,0,2,4,-3,-1,1",8,0.050781,0.035156,-2,0.035156,0.050781,-4,1.0,0.0,44.44476,True,True,True,True,64,72,11.111111,1.163292,1.274237
expanded_20_seed,9,decode_constrained,1.0,4,9,coarse_top3,-4,"-4,-2,0,2,4,-3,-1,1",8,0.050781,0.035156,-2,0.035156,0.050781,-4,1.0,0.0,44.44476,True,True,True,True,64,72,11.111111,1.163292,1.274237
expanded_20_seed,9,prefill_constrained,1.0,4,9,coarse_top1,0,"-4,-2,0,2,4,-1,1",7,0.929688,0.929688,-2,0.722656,0.929688,0,1.0,0.0,0.0,True,True,True,True,62,80,22.5,12.677953,15.550583
expanded_20_seed,9,prefill_constrained,1.0,4,9,coarse_top2,0,"-4,-2,0,2,4,-1,1,-3",8,0.929688,0.929688,-2,0.722656,0.929688,0,1.0,0.0,0.0,True,True,True,True,71,80,11.25,14.225143,15.550583
expanded_20_seed,9,prefill_constrained,1.0,4,9,coarse_top3,0,"-4,-2,0,2,4,-1,1,-3,3",9,0.929688,0.929688,-2,0.722656,0.929688,0,1.0,0.0,0.0,True,True,True,True,80,80,0.0,15.550583,15.550583
expanded_20_seed,10,decode_constrained,1.0,4,9,coarse_top1,-4,"-4,-2,0,2,4,-3",6,0.046875,0.019531,-2,0.023438,0.046875,-4,1.0,0.0,140.003072,True,True,True,True,48,72,33.333333,0.758142,1.116273
expanded_20_seed,10,decode_constrained,1.0,4,9,coarse_top2,-4,"-4,-2,0,2,4,-3,-1",7,0.046875,0.019531,-2,0.023438,0.046875,-4,1.0,0.0,140.003072,True,True,True,True,56,72,22.222222,0.897538,1.116273
expanded_20_seed,10,decode_constrained,1.0,4,9,coarse_top3,-4,"-4,-2,0,2,4,-3,-1,1",8,0.046875,0.019531,-2,0.023438,0.046875,-4,1.0,0.0,140.003072,True,True,True,True,64,72,11.111111,1.006889,1.116273
expanded_20_seed,10,prefill_constrained,1.0,4,9,coarse_top1,4,"-4,-2,0,2,4,3",6,0.394531,0.359375,-2,0.316406,0.394531,4,1.0,0.0,9.782539,True,True,True,True,48,72,33.333333,4.179222,6.137476
expanded_20_seed,10,prefill_constrained,1.0,4,9,coarse_top2,4,"-4,-2,0,2,4,3,1",7,0.394531,0.359375,-2,0.316406,0.394531,4,1.0,0.0,9.782539,True,True,True,True,56,72,22.222222,4.977699,6.137476
expanded_20_seed,10,prefill_constrained,1.0,4,9,coarse_top3,4,"-4,-2,0,2,4,3,1,-1",8,0.394531,0.359375,-2,0.316406,0.394531,4,1.0,0.0,9.782539,True,True,True,True,64,72,11.111111,5.678683,6.137476
expanded_20_seed,11,decode_constrained,1.0,4,9,coarse_top1,-4,"-4,-2,0,2,4,-3",6,0.058594,0.039062,-2,0.039062,0.058594,-4,1.0,0.0,50.00256,True,True,True,True,48,72,33.333333,0.890999,1.267735
expanded_20_seed,11,decode_constrained,1.0,4,9,coarse_top2,-4,"-4,-2,0,2,4,-3,-1,1",8,0.058594,0.039062,-2,0.039062,0.058594,-4,1.0,0.0,50.00256,True,True,True,True,64,72,11.111111,1.155408,1.267735
expanded_20_seed,11,decode_constrained,1.0,4,9,coarse_top3,-4,"-4,-2,0,2,4,-3,-1,1",8,0.058594,0.039062,-2,0.039062,0.058594,-4,1.0,0.0,50.00256,True,True,True,True,64,72,11.111111,1.155408,1.267735
expanded_20_seed,11,prefill_constrained,1.0,4,9,coarse_top1,0,"-4,-2,0,2,4,-1,1",7,1.160156,1.160156,-2,0.785156,1.160156,0,1.0,0.0,0.0,True,True,True,True,64,82,21.95122,12.492131,15.182687
expanded_20_seed,11,prefill_constrained,1.0,4,9,coarse_top2,0,"-4,-2,0,2,4,-1,1,-3",8,1.160156,1.160156,-2,0.785156,1.160156,0,1.0,0.0,0.0,True,True,True,True,73,82,10.97561,13.881222,15.182687
expanded_20_seed,11,prefill_constrained,1.0,4,9,coarse_top3,0,"-4,-2,0,2,4,-1,1,-3,3",9,1.160156,1.160156,-2,0.785156,1.160156,0,1.0,0.0,0.0,True,True,True,True,82,82,0.0,15.182687,15.182687
expanded_20_seed,12,decode_constrained,1.0,4,9,coarse_top1,-4,"-4,-2,0,2,4,-3",6,0.074219,0.039062,-2,0.042969,0.074219,-4,1.0,0.0,90.003072,True,True,True,True,48,72,33.333333,0.964573,1.392526
expanded_20_seed,12,decode_constrained,1.0,4,9,coarse_top2,-4,"-4,-2,0,2,4,-3,-1",7,0.074219,0.039062,-2,0.042969,0.074219,-4,1.0,0.0,90.003072,True,True,True,True,56,72,22.222222,1.124081,1.392526
expanded_20_seed,12,decode_constrained,1.0,4,9,coarse_top3,-4,"-4,-2,0,2,4,-3,-1,1",8,0.074219,0.039062,-2,0.042969,0.074219,-4,1.0,0.0,90.003072,True,True,True,True,64,72,11.111111,1.257607,1.392526
expanded_20_seed,12,prefill_constrained,1.0,4,9,coarse_top1,1,"-4,-2,0,2,4,-1,1",7,0.539062,0.53125,-2,0.503906,0.546875,3,0.985713,1.428663,1.470494,False,True,True,True,60,77,22.077922,9.467713,12.005772
expanded_20_seed,12,prefill_constrained,1.0,4,9,coarse_top2,3,"-4,-2,0,2,4,-1,1,3",8,0.546875,0.53125,-2,0.503906,0.546875,3,1.0,0.0,2.941176,True,True,True,True,69,77,10.38961,10.925124,12.005772
expanded_20_seed,12,prefill_constrained,1.0,4,9,coarse_top3,3,"-4,-2,0,2,4,-1,1,3,-3",9,0.546875,0.53125,-2,0.503906,0.546875,3,1.0,0.0,2.941176,True,True,True,True,77,77,0.0,12.005772,12.005772
expanded_20_seed,13,decode_constrained,1.0,4,9,coarse_top1,-4,"-4,-2,0,2,4,-3",6,0.0625,0.027344,-2,0.027344,0.0625,-4,1.0,0.0,128.569339,True,True,True,True,48,72,33.333333,0.752709,1.13699
expanded_20_seed,13,decode_constrained,1.0,4,9,coarse_top2,-4,"-4,-2,0,2,4,-3,-1,1",8,0.0625,0.027344,-2,0.027344,0.0625,-4,1.0,0.0,128.569339,True,True,True,True,64,72,11.111111,1.02771,1.13699
expanded_20_seed,13,decode_constrained,1.0,4,9,coarse_top3,-4,"-4,-2,0,2,4,-3,-1,1",8,0.0625,0.027344,-2,0.027344,0.0625,-4,1.0,0.0,128.569339,True,True,True,True,64,72,11.111111,1.02771,1.13699
expanded_20_seed,13,prefill_constrained,1.0,4,9,coarse_top1,4,"-4,-2,0,2,4,3",6,0.347656,0.3125,-2,0.316406,0.347656,4,1.0,0.0,11.24992,True,True,True,True,48,72,33.333333,4.023194,5.811385
expanded_20_seed,13,prefill_constrained,1.0,4,9,coarse_top2,4,"-4,-2,0,2,4,3,1",7,0.347656,0.3125,-2,0.316406,0.347656,4,1.0,0.0,11.24992,True,True,True,True,56,72,22.222222,4.81908,5.811385
