condition,seed,regime,bandwidth_multiplier,shift,safe_intensity,unsafe_intensity,evaluations,elapsed_s,sampled_monotonic,right_censored,is_oracle_shift
bandwidth_0.5x,19,prefill_constrained,0.5,0,0.226562,0.230469,8,0.658548,True,False,False
bandwidth_0.5x,19,prefill_constrained,0.5,1,0.238281,0.242188,8,0.778433,True,False,True
bandwidth_0.5x,19,prefill_constrained,0.5,2,0.230469,0.234375,8,0.775056,True,False,False
bandwidth_0.5x,19,prefill_constrained,0.5,3,0.226562,0.230469,8,0.675494,True,False,False
bandwidth_0.5x,19,prefill_constrained,0.5,4,0.222656,0.226562,8,0.674488,True,False,False
bandwidth_1x,0,decode_constrained,1.0,-4,0.035156,0.039062,8,0.187824,True,False,True
bandwidth_1x,0,decode_constrained,1.0,-3,0.03125,0.035156,8,0.145432,True,False,False
bandwidth_1x,0,decode_constrained,1.0,-2,0.027344,0.03125,8,0.191334,True,False,False
bandwidth_1x,0,decode_constrained,1.0,-1,0.023438,0.027344,8,0.161647,True,False,False
bandwidth_1x,0,decode_constrained,1.0,0,0.023438,0.027344,8,0.157596,True,False,False
bandwidth_1x,0,decode_constrained,1.0,1,0.011719,0.015625,8,0.135296,True,False,False
bandwidth_1x,0,decode_constrained,1.0,2,0.011719,0.015625,8,0.133327,True,False,False
bandwidth_1x,0,decode_constrained,1.0,3,0.011719,0.015625,8,0.133329,True,False,False
bandwidth_1x,0,decode_constrained,1.0,4,0.003906,0.007812,8,0.081225,True,False,False
bandwidth_1x,0,prefill_constrained,1.0,-4,0.460938,0.464844,8,1.370436,True,False,False
bandwidth_1x,0,prefill_constrained,1.0,-3,0.449219,0.453125,8,1.366234,True,False,False
bandwidth_1x,0,prefill_constrained,1.0,-2,0.539062,0.542969,9,1.866043,True,False,True
bandwidth_1x,0,prefill_constrained,1.0,-1,0.535156,0.539062,9,1.917548,True,False,False
bandwidth_1x,0,prefill_constrained,1.0,0,0.523438,0.527344,9,1.930293,True,False,False
bandwidth_1x,0,prefill_constrained,1.0,1,0.511719,0.515625,9,1.947031,True,False,False
bandwidth_1x,0,prefill_constrained,1.0,2,0.507812,0.511719,9,1.743698,True,False,False
bandwidth_1x,0,prefill_constrained,1.0,3,0.5,0.503906,9,1.555501,True,False,False
bandwidth_1x,0,prefill_constrained,1.0,4,0.46875,0.472656,8,1.606405,True,False,False
bandwidth_1x,1,decode_constrained,1.0,-4,0.042969,0.046875,8,0.251256,True,False,True
bandwidth_1x,1,decode_constrained,1.0,-3,0.023438,0.027344,8,0.175729,True,False,False
bandwidth_1x,1,decode_constrained,1.0,-2,0.023438,0.027344,8,0.171588,True,False,False
bandwidth_1x,1,decode_constrained,1.0,-1,0.023438,0.027344,8,0.171506,True,False,False
bandwidth_1x,1,decode_constrained,1.0,0,0.023438,0.027344,8,0.171781,True,False,False
bandwidth_1x,1,decode_constrained,1.0,1,0.011719,0.015625,8,0.145287,True,False,False
bandwidth_1x,1,decode_constrained,1.0,2,0.011719,0.015625,8,0.146293,True,False,False
bandwidth_1x,1,decode_constrained,1.0,3,0.011719,0.015625,8,0.146563,True,False,False
bandwidth_1x,1,decode_constrained,1.0,4,0.003906,0.007812,8,0.079128,True,False,False
bandwidth_1x,1,prefill_constrained,1.0,-4,0.5,0.503906,9,0.919066,True,False,False
bandwidth_1x,1,prefill_constrained,1.0,-3,0.621094,0.625,9,2.057512,True,False,False
bandwidth_1x,1,prefill_constrained,1.0,-2,0.667969,0.671875,9,1.957731,True,False,True
bandwidth_1x,1,prefill_constrained,1.0,-1,0.660156,0.664062,9,1.763598,True,False,False
bandwidth_1x,1,prefill_constrained,1.0,0,0.648438,0.652344,9,1.772711,True,False,False
bandwidth_1x,1,prefill_constrained,1.0,1,0.632812,0.636719,9,1.552664,True,False,False
bandwidth_1x,1,prefill_constrained,1.0,2,0.648438,0.652344,9,1.849247,True,False,False
bandwidth_1x,1,prefill_constrained,1.0,3,0.539062,0.542969,9,1.558898,True,False,False
bandwidth_1x,1,prefill_constrained,1.0,4,0.417969,0.421875,8,1.401501,True,False,False
bandwidth_1x,2,decode_constrained,1.0,-4,0.054688,0.058594,8,0.272753,True,False,True
bandwidth_1x,2,decode_constrained,1.0,-3,0.03125,0.035156,8,0.176696,True,False,False
bandwidth_1x,2,decode_constrained,1.0,-2,0.027344,0.03125,8,0.215243,True,False,False
bandwidth_1x,2,decode_constrained,1.0,-1,0.027344,0.03125,8,0.218456,True,False,False
bandwidth_1x,2,decode_constrained,1.0,0,0.027344,0.03125,8,0.220797,True,False,False
bandwidth_1x,2,decode_constrained,1.0,1,0.015625,0.019531,8,0.115634,True,False,False
bandwidth_1x,2,decode_constrained,1.0,2,0.015625,0.019531,8,0.113499,True,False,False
bandwidth_1x,2,decode_constrained,1.0,3,0.015625,0.019531,8,0.112834,True,False,False
bandwidth_1x,2,decode_constrained,1.0,4,0.003906,0.007812,8,0.079217,True,False,False
bandwidth_1x,2,prefill_constrained,1.0,-4,0.230469,0.234375,8,0.702834,True,False,False
bandwidth_1x,2,prefill_constrained,1.0,-3,0.265625,0.269531,8,0.496244,True,False,False
bandwidth_1x,2,prefill_constrained,1.0,-2,0.257812,0.261719,8,0.499752,True,False,False
bandwidth_1x,2,prefill_constrained,1.0,-1,0.316406,0.320312,8,0.669273,True,False,False
bandwidth_1x,2,prefill_constrained,1.0,0,0.390625,0.394531,8,0.762585,True,False,False
bandwidth_1x,2,prefill_constrained,1.0,1,0.398438,0.402344,8,0.939413,True,False,False
bandwidth_1x,2,prefill_constrained,1.0,2,0.386719,0.390625,8,0.95407,True,False,False
bandwidth_1x,2,prefill_constrained,1.0,3,0.488281,0.492188,8,1.504263,True,False,True
bandwidth_1x,2,prefill_constrained,1.0,4,0.402344,0.40625,8,1.213243,True,False,False
bandwidth_1x,3,decode_constrained,1.0,-4,0.046875,0.050781,8,0.209446,True,False,True
bandwidth_1x,3,decode_constrained,1.0,-3,0.03125,0.035156,8,0.157464,True,False,False
bandwidth_1x,3,decode_constrained,1.0,-2,0.03125,0.035156,8,0.136934,True,False,False
bandwidth_1x,3,decode_constrained,1.0,-1,0.03125,0.035156,8,0.139106,True,False,False
bandwidth_1x,3,decode_constrained,1.0,0,0.027344,0.03125,8,0.243273,True,False,False
bandwidth_1x,3,decode_constrained,1.0,1,0.019531,0.023438,8,0.154833,True,False,False
bandwidth_1x,3,decode_constrained,1.0,2,0.019531,0.023438,8,0.154354,True,False,False
bandwidth_1x,3,decode_constrained,1.0,3,0.015625,0.019531,8,0.129389,True,False,False
bandwidth_1x,3,decode_constrained,1.0,4,0.003906,0.007812,8,0.085969,True,False,False
bandwidth_1x,3,prefill_constrained,1.0,-4,0.449219,0.453125,8,1.76371,True,False,False
bandwidth_1x,3,prefill_constrained,1.0,-3,0.480469,0.484375,8,1.879057,True,False,False
bandwidth_1x,3,prefill_constrained,1.0,-2,0.476562,0.480469,8,1.888443,True,False,False
bandwidth_1x,3,prefill_constrained,1.0,-1,0.464844,0.46875,8,1.924766,True,False,False
bandwidth_1x,3,prefill_constrained,1.0,0,0.472656,0.476562,8,1.9647,True,False,False
bandwidth_1x,3,prefill_constrained,1.0,1,0.496094,0.5,8,2.143224,True,False,True
bandwidth_1x,3,prefill_constrained,1.0,2,0.496094,0.5,8,2.179074,True,False,True
bandwidth_1x,3,prefill_constrained,1.0,3,0.484375,0.488281,8,2.101764,True,False,False
bandwidth_1x,3,prefill_constrained,1.0,4,0.46875,0.472656,8,1.617645,True,False,False
bandwidth_1x,7,decode_constrained,1.0,-4,0.054688,0.058594,8,0.25776,True,False,True
