condition,seed,regime,bandwidth_multiplier,candidate_radius,candidate_count,method,proposed_shift,probe_order,candidate_probe_count,proposed_safe_intensity,uniform_safe_intensity,joint_compute_shift,joint_compute_safe_intensity,oracle_safe_intensity,oracle_shifts,oracle_ratio,oracle_gap_pct,gain_over_uniform_pct,matches_oracle_shift,near_oracle,not_worse_than_uniform,not_worse_than_joint_compute,method_evaluator_calls,exhaustive_evaluator_calls,evaluator_call_reduction_pct,method_runtime_s,exhaustive_runtime_s
bandwidth_0.5x,19,decode_constrained,0.5,4,9,coarse_top3,-1,"-4,-2,0,2,4,-3,-1,1",8,0.015625,0.011719,-2,0.015625,0.015625,"-4,-3,-2,-1",1.0,0.0,33.330489,True,True,True,True,64,72,11.111111,0.843373,0.921155
bandwidth_0.5x,19,prefill_constrained,0.5,4,9,coarse_top1,-2,"-4,-2,0,2,4,-3,-1",7,0.238281,0.226562,-2,0.238281,0.238281,"-2,1",1.0,0.0,5.172536,True,True,True,True,56,72,22.222222,5.071576,6.525504
bandwidth_0.5x,19,prefill_constrained,0.5,4,9,coarse_top2,1,"-4,-2,0,2,4,-3,-1,1,3",9,0.238281,0.226562,-2,0.238281,0.238281,"-2,1",1.0,0.0,5.172536,True,True,True,True,72,72,0.0,6.525504,6.525504
bandwidth_0.5x,19,prefill_constrained,0.5,4,9,coarse_top3,1,"-4,-2,0,2,4,-3,-1,1,3",9,0.238281,0.226562,-2,0.238281,0.238281,"-2,1",1.0,0.0,5.172536,True,True,True,True,72,72,0.0,6.525504,6.525504
bandwidth_1x,0,decode_constrained,1.0,4,9,coarse_top1,-4,"-4,-2,0,2,4,-3",6,0.035156,0.023438,-2,0.027344,0.035156,-4,1.0,0.0,49.995733,True,True,True,True,48,72,33.333333,0.896738,1.32701
bandwidth_1x,0,decode_constrained,1.0,4,9,coarse_top2,-4,"-4,-2,0,2,4,-3,-1",7,0.035156,0.023438,-2,0.027344,0.035156,-4,1.0,0.0,49.995733,True,True,True,True,56,72,22.222222,1.058385,1.32701
bandwidth_1x,0,decode_constrained,1.0,4,9,coarse_top3,-4,"-4,-2,0,2,4,-3,-1,1",8,0.035156,0.023438,-2,0.027344,0.035156,-4,1.0,0.0,49.995733,True,True,True,True,64,72,11.111111,1.19368,1.32701
bandwidth_1x,0,prefill_constrained,1.0,4,9,coarse_top1,-2,"-4,-2,0,2,4,-3,-1",7,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,True,True,True,True,60,78,23.076923,11.800656,15.303188
bandwidth_1x,0,prefill_constrained,1.0,4,9,coarse_top2,-2,"-4,-2,0,2,4,-3,-1,1",8,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,True,True,True,True,69,78,11.538462,13.747687,15.303188
bandwidth_1x,0,prefill_constrained,1.0,4,9,coarse_top3,-2,"-4,-2,0,2,4,-3,-1,1,3",9,0.539062,0.523438,-2,0.539062,0.539062,-2,1.0,0.0,2.984881,True,True,True,True,78,78,0.0,15.303188,15.303188
